Date,AAPL,GOOGL,MSFT,TSLA
2024-01-01,185.50,142.30,375.20,248.50
2024-01-02,187.20,143.80,378.50,252.30
2024-01-03,186.80,142.50,376.80,245.60
2024-01-04,189.30,145.20,382.10,258.90
2024-01-05,191.50,147.60,385.40,265.20
2024-01-08,193.80,149.30,388.70,270.50
2024-01-09,192.40,148.10,386.20,268.30
2024-01-10,195.60,151.20,392.80,275.80
2024-01-11,197.30,153.50,395.10,280.40
2024-01-12,196.80,152.80,393.60,278.90
2024-01-15,199.50,155.40,398.20,285.60
2024-01-16,201.20,157.80,401.50,290.30
2024-01-17,200.60,156.90,399.80,288.70
2024-01-18,203.40,159.60,404.20,295.40
2024-01-19,205.80,162.30,407.60,301.20
2024-01-22,204.50,161.10,405.30,298.50
2024-01-23,207.90,164.50,411.80,307.80
2024-01-24,210.30,167.20,415.40,315.60
2024-01-25,209.70,166.40,413.90,312.30
2024-01-26,212.60,169.80,419.50,322.70
