Week,PageViews,UniqueVisitors,BounceRate,AvgSessionDuration
Week1,45320,12500,42.5,185
Week2,48750,13200,41.8,192
Week3,52100,14800,39.5,205
Week4,49800,13900,40.2,198
Week5,55600,15600,38.7,215
Week6,58900,16800,37.5,228
Week7,62400,18200,36.2,242
Week8,59800,17500,37.8,235
Week9,66300,19800,35.5,255
Week10,71200,21500,34.2,268
Week11,68900,20800,35.8,262
Week12,75600,23200,33.5,282
Week13,79800,24800,32.8,295
Week14,83200,26500,31.5,308
Week15,77900,25200,33.2,298
Week16,86500,28100,30.8,322
Week17,91300,30200,29.5,338
Week18,88700,29500,30.2,328
Week19,95200,32800,28.7,352
Week20,102500,35600,27.3,375
